Step,commformer_1c3s5z_single_lf_seed1 - incre_win_rate,commformer_1c3s5z_single_lf_seed2 - incre_win_rate,commformer_1c3s5z_single_lf_seed3 - incre_win_rate,happo_1c3s5z_10v10_seed1 - incre_win_rate,happo_1c3s5z_10v10_seed2 - incre_win_rate,happo_1c3s5z_10v10_seed3 - incre_win_rate,mappo_1c3s5z_10v10_seed1 - incre_win_rate,mappo_1c3s5z_10v10_seed2 - incre_win_rate,mappo_1c3s5z_10v10_seed3 - incre_win_rate,mat_1c3s5z_10v10_seed1 - incre_win_rate,mat_1c3s5z_10v10_seed2 - incre_win_rate,mat_1c3s5z_10v10_seed3 - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MIN,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MAX
451200,0.759036145,0.759036145,0.759036145,0.754464286,0.791304348,0.776315789,0.612440191,0.375,0.680952381,0.186528497,0.265217391,0.265217391,0.8293650793650794,0.8293650793650794,0.8293650793650794
467200,0.768,0.768,0.768,0.764444444,0.800904977,0.753424658,0.684729064,0.452830189,0.710900474,0.196319018,0.392070485,0.392070485,0.804,0.804,0.804
483200,0.754310345,0.754310345,0.754310345,0.76056338,0.836909871,0.739910314,0.679245283,0.461988304,0.690821256,0.163265306,0.647577093,0.647577093,0.799163179916318,0.799163179916318,0.799163179916318
499200,0.810483871,0.810483871,0.810483871,0.766519824,0.825327511,0.774774775,0.716981132,0.491017964,0.751173709,0.057142857,0.742738589,0.742738589,0.8223140495867769,0.8223140495867769,0.8223140495867769
515200,0.830188679,0.830188679,0.830188679,0.764444444,0.820512821,0.769230769,0.719457014,0.547368421,0.737327189,0,0.710526316,0.710526316,0.7936507936507936,0.7936507936507936,0.7936507936507936
531200,0.843283582,0.843283582,0.843283582,0.698564593,0.821276596,0.779279279,0.726415094,0.50295858,0.712264151,0,0.737288136,0.737288136,0.7695473251028807,0.7695473251028807,0.7695473251028807
547200,0.860377358,0.860377358,0.860377358,0.746543779,0.838983051,0.795652174,0.691542289,0.443786982,0.772727273,0,0.7875,0.7875,0.8163265306122449,0.8163265306122449,0.8163265306122449
563200,0.87037037,0.87037037,0.87037037,0.779279279,0.828451883,0.868085106,0.697560976,0.470238095,0.759259259,0,0.752173913,0.752173913,0.8367346938775511,0.8367346938775511,0.8367346938775511
579200,0.822222222,0.822222222,0.822222222,0.788546256,0.805907173,0.81092437,0.695876289,0.473372781,0.737089202,0.007575758,0.703862661,0.703862661,0.8770491803278688,0.8770491803278688,0.8770491803278688
595200,0.839215686,0.839215686,0.839215686,0.815789474,0.875,0.822033898,0.763546798,0.512195122,0.781818182,0.007633588,0.488372093,0.488372093,0.8734693877551021,0.8734693877551021,0.8734693877551021
